"measurement_datetime","gps_error_meter","accel_y_longitudinal","accel_z_vertical","oid","longitude","car_name","latitude","measurement_ms","measurement_data_id","accel_x_transverse"
"2015/12/17 13:06:56","23","0.45","9.545","4655751","139.897226","patrol02","37.491543","1450325301430","20151217_130656","0.177"
"2015/12/17 13:06:56","23","0.441","9.527","4655752","139.897227","patrol02","37.491534","1450325301530","20151217_130656","0.173"
"2015/12/17 13:06:56","23","0.566","9.67","4655753","139.897229","patrol02","37.491525","1450325301631","20151217_130656","0.22"
"2015/12/17 13:06:56","23","0.523","9.771","4655754","139.897231","patrol02","37.491516","1450325301732","20151217_130656","0.203"
"2015/12/17 13:06:56","23","0.457","9.708","4655755","139.897232","patrol02","37.491507","1450325301833","20151217_130656","0.219"
"2015/12/17 13:06:56","23","0.458","9.659","4655756","139.897234","patrol02","37.491498","1450325301933","20151217_130656","0.266"
"2015/12/17 13:06:56","23","0.474","9.613","4655757","139.897236","patrol02","37.491489","1450325302029","20151217_130656","0.32"
"2015/12/17 13:06:56","23","0.476","9.566","4655758","139.897237","patrol02","37.49148","1450325302130","20151217_130656","0.318"
"2015/12/17 13:06:56","23","0.573","9.565","4655759","139.897239","patrol02","37.491471","1450325302230","20151217_130656","0.314"
"2015/12/17 13:06:56","23","0.413","9.632","4655760","139.897241","patrol02","37.491462","1450325302331","20151217_130656","0.378"
"2015/12/17 13:06:56","23","0.467","9.638","4655761","139.897243","patrol02","37.491452","1450325302432","20151217_130656","0.357"
"2015/12/17 13:06:56","23","0.474","9.739","4655762","139.897247","patrol02","37.491442","1450325302533","20151217_130656","0.406"
"2015/12/17 13:06:56","23","0.382","9.765","4655763","139.89725","patrol02","37.491432","1450325302633","20151217_130656","0.452"
"2015/12/17 13:06:56","23","0.574","9.593","4655764","139.897254","patrol02","37.491422","1450325302729","20151217_130656","0.478"
"2015/12/17 13:06:56","23","0.483","9.349","4655765","139.897257","patrol02","37.491412","1450325302830","20151217_130656","0.53"
"2015/12/17 13:06:56","23","0.271","9.353","4655766","139.897261","patrol02","37.491401","1450325302930","20151217_130656","0.42"
"2015/12/17 13:06:56","23","0.257","9.676","4655767","139.897264","patrol02","37.491391","1450325303031","20151217_130656","0.477"
"2015/12/17 13:06:56","23","0.034","10.001","4655768","139.897268","patrol02","37.491381","1450325303132","20151217_130656","0.454"
"2015/12/17 13:06:56","23","0.004","10.064","4655769","139.897271","patrol02","37.49137","1450325303232","20151217_130656","0.372"
"2015/12/17 13:06:56","23","0.164","9.736","4655770","139.897275","patrol02","37.49136","1450325303333","20151217_130656","0.267"
"2015/12/17 13:06:56","20","0.054","9.402","4655771","139.897278","patrol02","37.49135","1450325303429","20151217_130656","0.244"
