"measurement_datetime","gps_error_meter","accel_y_longitudinal","accel_z_vertical","oid","longitude","car_name","latitude","measurement_ms","measurement_data_id","accel_x_transverse"
"2015/10/30 16:20:45","14","-1.448","9.6","1","139.928786","patrol01","37.490131","1446189648706","20151030_162045","0.846"
"2015/10/30 16:20:45","14","-1.445","9.594","2","139.928784","patrol01","37.49013","1446189648807","20151030_162045","0.862"
"2015/10/30 16:20:45","14","-1.455","9.598","3","139.928783","patrol01","37.490129","1446189648907","20151030_162045","0.888"
"2015/10/30 16:20:45","14","-1.461","9.598","4","139.928781","patrol01","37.490128","1446189649008","20151030_162045","0.872"
"2015/10/30 16:20:45","14","-1.454","9.6","5","139.92878","patrol01","37.490127","1446189649104","20151030_162045","0.853"
"2015/10/30 16:20:45","14","-1.446","9.594","6","139.928778","patrol01","37.490126","1446189649205","20151030_162045","0.862"
"2015/10/30 16:20:45","14","-1.45","9.596","7","139.928777","patrol01","37.490125","1446189649305","20151030_162045","0.881"
"2015/10/30 16:20:45","14","-1.455","9.591","8","139.928775","patrol01","37.490124","1446189649406","20151030_162045","0.873"
"2015/10/30 16:20:45","14","-1.461","9.603","9","139.928774","patrol01","37.490123","1446189649507","20151030_162045","0.857"
"2015/10/30 16:20:45","14","-1.447","9.596","10","139.928772","patrol01","37.490122","1446189649607","20151030_162045","0.856"
"2015/10/30 16:20:45","11","-1.439","9.597","11","139.928771","patrol01","37.490121","1446189649708","20151030_162045","0.863"
"2015/10/30 16:20:45","11","-1.453","9.597","12","139.92877","patrol01","37.49012","1446189649804","20151030_162045","0.869"
"2015/10/30 16:20:45","11","-1.465","9.592","13","139.928769","patrol01","37.490119","1446189649904","20151030_162045","0.864"
"2015/10/30 16:20:45","11","-1.461","9.604","14","139.928768","patrol01","37.490118","1446189650005","20151030_162045","0.858"
"2015/10/30 16:20:45","11","-1.446","9.587","15","139.928767","patrol01","37.490118","1446189650106","20151030_162045","0.865"
"2015/10/30 16:20:45","11","-1.439","9.598","16","139.928766","patrol01","37.490117","1446189650207","20151030_162045","0.869"
"2015/10/30 16:20:45","11","-1.444","9.587","17","139.928765","patrol01","37.490116","1446189650307","20151030_162045","0.863"
"2015/10/30 16:20:45","11","-1.465","9.601","18","139.928764","patrol01","37.490115","1446189650408","20151030_162045","0.866"
"2015/10/30 16:20:45","11","-1.469","9.6","19","139.928763","patrol01","37.490114","1446189650504","20151030_162045","0.87"
"2015/10/30 16:20:45","11","-1.447","9.59","20","139.928762","patrol01","37.490114","1446189650604","20151030_162045","0.867"
"2015/10/30 16:20:45","8","-1.431","9.603","21","139.928761","patrol01","37.490113","1446189650705","20151030_162045","0.859"
"2015/10/30 16:20:45","8","-1.446","9.593","22","139.92876","patrol01","37.490113","1446189650806","20151030_162045","0.867"
"2015/10/30 16:20:45","8","-1.462","9.608","23","139.928759","patrol01","37.490112","1446189650906","20151030_162045","0.85"
"2015/10/30 16:20:45","8","-1.463","9.592","24","139.928758","patrol01","37.490112","1446189651007","20151030_162045","0.845"
"2015/10/30 16:20:45","8","-1.431","9.607","25","139.928757","patrol01","37.490112","1446189651108","20151030_162045","0.865"
"2015/10/30 16:20:45","8","-1.409","9.612","26","139.928757","patrol01","37.490111","1446189651204","20151030_162045","0.887"
"2015/10/30 16:20:45","8","-1.43","9.581","27","139.928756","patrol01","37.490111","1446189651304","20151030_162045","0.865"
"2015/10/30 16:20:45","8","-1.469","9.602","28","139.928755","patrol01","37.490111","1446189651405","20151030_162045","0.841"
"2015/10/30 16:20:45","8","-1.446","9.591","29","139.928754","patrol01","37.49011","1446189651506","20151030_162045","0.859"
"2015/10/30 16:20:45","8","-1.429","9.602","30","139.928753","patrol01","37.49011","1446189651606","20151030_162045","0.88"
"2015/10/30 16:20:45","7","-1.453","9.594","31","139.928753","patrol01","37.49011","1446189651707","20151030_162045","0.87"
"2015/10/30 16:20:45","7","-1.461","9.6","32","139.928751","patrol01","37.490109","1446189651808","20151030_162045","0.85"
"2015/10/30 16:20:45","7","-1.44","9.602","33","139.92875","patrol01","37.490108","1446189651904","20151030_162045","0.864"
"2015/10/30 16:20:45","7","-1.435","9.597","34","139.928749","patrol01","37.490108","1446189652004","20151030_162045","0.87"
